location,rep,block,plot,RIL,height
TPAC,2,2,9,RIL-44,166.8
TPAC,2,2,10,RIL-64,176.4
TPAC,2,2,11,RIL-23,150.8
TPAC,2,2,12,RIL-26,195.2
TPAC,2,2,13,RIL-30,227.6
TPAC,2,2,14,RIL-27,195.2
TPAC,2,2,15,RIL-40,229.6
TPAC,2,2,16,RIL-55,184
TPAC,2,3,17,RIL-34,198.4
TPAC,2,3,18,RIL-24,202.4
TPAC,2,3,19,RIL-49,188.4
TPAC,2,3,20,RIL-48,164
TPAC,2,3,21,RIL-3,193.2
TPAC,2,3,23,RIL-86,152.4
TPAC,2,3,24,RIL-32,180
TPAC,2,4,25,RIL-56,170.4
TPAC,2,4,26,RIL-79,143.2
TPAC,2,4,27,RIL-1,179.2
TPAC,2,4,28,RIL-22,163.6
TPAC,2,4,29,RIL-8,180.8
TPAC,2,4,30,RIL-21,171.6
TPAC,2,4,31,RIL-15,203.2
TPAC,2,4,32,RIL-66,201.2
TPAC,2,5,33,RIL-57,214
TPAC,2,5,34,RIL-68,202.8
TPAC,2,5,35,RIL-43,230.6
TPAC,2,5,36,RIL-41,184.8
TPAC,2,5,37,RIL-81,188.8
TPAC,2,5,38,RIL-11,184.8
TPAC,2,5,39,RIL-20,218
TPAC,2,6,42,RIL-80,223.6
TPAC,2,6,43,RIL-14,193.6
TPAC,2,6,44,RIL-69,184
TPAC,2,6,45,RIL-60,192
TPAC,2,6,46,RIL-7,203.2
TPAC,2,6,47,RIL-25,179.2
TPAC,2,6,48,RIL-36,185.6
TPAC,2,7,49,RIL-12,187.2
TPAC,2,7,50,RIL-72,181.2
TPAC,2,7,51,RIL-53,179.2
TPAC,2,7,52,RIL-84,149.2
TPAC,2,7,55,RIL-42,209.6
TPAC,2,8,57,RIL-94,194.8
TPAC,2,8,58,RIL-16,178.4
TPAC,2,8,59,RIL-50,197.6
TPAC,2,8,60,RIL-33,198.8
TPAC,2,8,61,RIL-71,181.2
TPAC,2,8,62,RIL-4,171.6
TPAC,2,8,64,RIL-83,190.4
