     site  yield          wt      variety 
 397    3 0.6252   1.5020949   CO4138-307
 398    3 0.8767   1.5020990   CO4138-316
 399    3 0.7360   1.4926999   CO4151-304
 400    3 0.5571   1.4926893   CO4151-306
 401    3 0.7611   1.3721925   CO4151-310
 402    3 0.7520   1.4926175   CO4151-330
 403    3 0.6915   1.5012451   CO4151-331
 404    3 0.8173   1.5021850   CO4151-339
 405    3 0.5365   1.5031487   CO4176-303
 406    3 0.6697   1.5022395   CO4177-304
 407    3 0.5851   1.5030937   CO4177-305
 408    3 1.2330   1.5030506   CO4177-309
 409    3 1.1540   3.4254962     CORRIGIN
 410    3 0.6837   1.5019945 DT18883;DT36
 411    3 0.9685   1.5021348  DT68586-132
 412    3 0.8613   1.5021307  DT68726-106
 413    3 1.1540   1.5012369  DT82241-105
 414    3 0.7186   1.5020812 DT91898;SR13
 415    3 0.8653   1.4808106    EXCALIBUR
 416    3 0.5555   1.3620509      HALBERD
 417    3 0.5809   1.5031201   HW305-42-6
 418    3 1.2930   1.5020896   HW305-69-1
 419    3 0.6230   7.2727747         JANZ
 420    3 0.7303   1.3733152        K3032
 421    3 0.5635   1.3729855        K3037
 422    3 0.6417   1.5023109        K3045
 423    3 0.6711   1.5029714        K3057
 424    3 0.6050   1.3720579        K3058
 425    3 0.5603   1.4926370        K3059
 426    3 0.5825   1.5029924        M5428
 427    3 0.5851   1.5010178        M5429
 428    3 0.6305   1.5022882        M5484
 429    3 0.5312   1.5031668        M5487
 430    3 0.7345   7.3917419      MACHETE
 431    3 0.5048   7.2678172      MEERING
 432    3 0.7573   1.5020888   NR12-1-427
 433    3 0.6532   1.5020326   NR12-1-429
 434    3 0.6902   1.5031373   NR12-1-431
 435    3 0.4370   1.3736041   NR12-1-432
 436    3 0.7105   1.3723679   NR12-1-434
 437    3 0.7863   1.5018267   NR12-1-435
 438    3 0.8235   1.5034716   NR12-2-403
 439    3 0.7204   1.4928159   NR12-2-405
 440    3 0.6319   1.5031689   NR12-2-408
 441    3 0.6168   1.5030799   NR12-2-411
 442    3 0.8073   1.5031618   NR12-5-401
 443    3 0.5534   1.5031375   NR12-8-401
 444    3 0.9945   1.3682963   NR12-8-402
 445    3 0.6727   1.5030859   NR12-8-408
 446    3 0.7028   1.5031525   NR12-9-403
 447    3 0.3649   1.5020973   NR12-9-404
 448    3 0.6555   1.5019839   NR12-9-405
 449    3 0.8084   1.5020131       RAC696
 450    3 0.8355   7.3906357        SPEAR
 451    3 0.9790   6.8898667      TATIARA
 452    3 0.9149   7.1078003      TRIDENT
 453    3 0.9252   1.5020712        VF664
 454    3 0.8487   1.4928799        VH302
 455    3 0.7356   1.5022719        VH314
 456    3 0.6438   1.4915924        VH782
 457    3 0.7721   1.5011510        VI184
 458    3 0.4891   1.5030242        VI193
 459    3 0.5457   1.5030904        VI341
 460    3 0.4219   1.5021725        VI375
 461    3 0.3939   1.5031682        VI727
 462    3 0.8298   1.5031724        VI729
 463    3 0.9890   1.5032321      WI94063
 464    3 0.9809   1.5031634      WI94091
 465    3 0.6829   1.5021249      WI94098
 466    3 1.2910   1.5031593      WI95060
 467    3 1.0510   1.4927993      WI95101
 468    3 0.7084   1.5031507      WI95109
 469    3 1.1800   1.3718027      WI95112
 470    3 0.4243   1.5031614       WW2338
 471    3 0.5792   1.5031610       WW2340
 472    3 0.4914   1.5031464       WW2341
 473    3 0.4592   1.5031205       WW2422
 474    3 0.5083   1.5031742       WW2423
 475    3 0.8424   1.5031714       WW2449
 476    3 0.6337   1.4930210       WW2450
 477    3 0.6329   1.5031524       WW2451
 478    3 0.5384   1.3749001       WW2453
 479    3 0.9625   1.5031776       WW2456
 480    3 0.5594   1.5031030       WW2457
 481    3 0.7112   1.5030953       WW2519
 482    3 0.7132   1.5033337       WW2520
 483    3 0.4911   1.5030716       WW2529
 484    4 3.2210   8.4710993 (WqKPWmH*3Ag
 485    4 2.7810   2.1444378   24IBWSN005
 486    4 2.6080   2.1445277   24IBWSN006
 487    4 2.9230   1.9454016   24IBWSN012
 488    4 2.6710   2.1330379   24IBWSN185
 489    4 3.0430   2.1293129   24IBWSN222
 490    4 2.2300   1.9374947   24IBWSN228
 491    4 2.0990   1.7516751   24IBWSN267
 492    4 2.7090   2.1388836   24IBWSN288
 493    4 2.8340   2.1527310   25IBWSN001
 494    4 2.6620   2.1544290   25IBWSN067
 495    4 2.8730   2.1544797   25IBWSN070
 496    4 2.8820   2.1546365   25IBWSN243
 497    4 2.6420   2.1546588      385W108
 498    4 2.6760   2.1548278       385W89
 499    4 3.2570   2.1445231      386W327
 500    4 3.3480   2.1257813      386W372
 501    4 3.2010   2.1396592      386W373
 502    4 2.8660   2.1548289      386W443
 503    4 3.2040   2.1531857      485WW38
 504    4 3.0440   2.1446678      486W124
 505    4 2.7820   2.1447468      486W175
 506    4 2.9170   2.1447429     486WW197
 507    4 2.7790   2.1531136      487W100
 508    4 3.3740   1.9426206       487W77
 509    4 3.0600   2.1531517     83Y:1308
 510    4 2.9600   1.9374161     84Y:1426
 511    4 3.2860   2.1345259     84Y:1430
 512    4 3.3260   2.1449396     85W:1487
 513    4 3.3950   2.1844360     85Z:1379
 514    4 3.5730   2.1330642     86Z:1484
 515    4 3.0540   2.1446968     86Z:1494
 516    4 3.0210   8.4111044      BARUNGA
 517    4 3.1830   2.1445256   CO3440-815
 518    4 2.5230   2.1446117   CO3603-103
 519    4 2.8090   2.1346828   CO3617-046
 520    4 3.3010   2.1290980   CO3644-207
 521    4 3.3500   2.1447392   CO3644-208
 522    4 3.2180   2.1447506   CO3644-222
 523    4 2.9190   1.9435625   CO3645-213
 524    4 3.1230   2.1347239   CO3938-011
 525    4 2.5870   1.9285043   CO3938-027
 526    4 2.7100   2.1431445   CO3958-001
 527    4 2.8530   2.1258372   CO4015-108
 528    4 3.0210   2.1432848   CO4025-221
 529    4 2.6230   2.1445526   CO4040-204
 530    4 3.3960   2.1546778   CO4101-321
 531    4 3.4440   2.1388014   CO4101-338
 532    4 3.2020   2.1531103   CO4102-317
 533    4 2.6290   2.1546227   CO4106-301
 534    4 3.2310   1.9521106   CO4108-310
 535    4 3.3650   2.1545467   CO4108-314
 536    4 3.4310   2.1445547   CO4109-311
 537    4 2.9250   2.1390133   CO4109-318
 538    4 2.6850   2.1545852   CO4110-303
 539    4 2.8340   2.1531359   CO4110-308
 540    4 2.6390   2.1386027   CO4110-309
 541    4 2.7380   1.9423009   CO4110-313
 542    4 2.7320   2.1290111   CO4110-314
 543    4 2.3480   2.1326599   CO4110-316
 544    4 2.8160   2.1544957   CO4110-321
 545    4 2.6230   2.1546294   CO4112-306
 546    4 2.9900   2.1547980   CO4113-314
 547    4 2.9760   2.1547523   CO4113-316
 548    4 2.8110   2.1142046   CO4113-332
 549    4 2.9480   2.1542429   CO4113-337
 550    4 3.1170   2.1291144   CO4114-313
 551    4 3.2530   2.1545091   CO4114-330
 552    4 3.1850   2.1445420   CO4114-347
 553    4 2.9830   2.1532388   CO4138-307
 554    4 2.7860   2.1548271   CO4138-316
 555    4 2.6960   2.1446446   CO4151-304
 556    4 2.9580   2.1442879   CO4151-306
 557    4 2.9880   2.1543595   CO4151-310
 558    4 2.8300   2.1546230   CO4151-330
 559    4 2.6510   2.1430169   CO4151-331
 560    4 2.9380   2.1546983   CO4151-339
 561    4 2.4160   2.1550275   CO4176-303
 562    4 2.5910   2.1448991   CO4177-304
 563    4 2.4880   2.1548402   CO4177-305
 564    4 2.4520   2.1447625   CO4177-309
 565    4 3.2270   1.9558932     CORRIGIN
 566    4 3.3090   2.1444592 DT18883;DT36
 567    4 2.8380   1.9429249  DT68586-132
 568    4 2.7510   2.1447229  DT68726-106
 569    4 2.7850   2.1043253  DT82241-105
 570    4 3.0530   2.1465166 DT91898;SR13
 571    4 3.4170   2.1445182    EXCALIBUR
 572    4 2.9390   2.1446918      HALBERD
 573    4 3.5260   1.9453741   HW305-42-6
 574    4 2.7800   2.1444298   HW305-69-1
 575    4 2.9790   8.4529907         JANZ
 576    4 2.6610   2.1548564        K3032
 577    4 2.3540   2.1621720        K3037
 578    4 2.8690   2.1534122        K3045
 579    4 2.6600   2.1544557        K3057
 580    4 2.5060   2.1550689        K3058
 581    4 2.8060   2.1448687        K3059
 582    4 2.7260   2.1391535        M5428
 583    4 3.0360   2.1547688        M5429
 584    4 3.0260   2.1544314        M5484
 585    4 2.9580   2.1471222        M5487
 586    4 2.6250   8.5948870      MACHETE
 587    4 3.1130   8.3818632      MEERING
 588    4 2.9520   2.1548625   NR12-1-427
 589    4 2.6380   1.9549298   NR12-1-429
 590    4 2.4640   2.1430055   NR12-1-431
 591    4 2.4340   2.1447494   NR12-1-432
 592    4 2.6180   2.1449894   NR12-1-434
 593    4 2.6460   2.1547963   NR12-1-435
 594    4 2.8070   2.1546186   NR12-2-403
 595    4 2.6770   2.1547855   NR12-2-405
 596    4 2.8120   1.9551074   NR12-2-408
 597    4 2.9120   2.1444333   NR12-2-411
 598    4 2.9840   2.1548040   NR12-5-401
 599    4 3.1870   1.7960670   NR12-8-401
 600    4 3.0220   2.1548187   NR12-8-402
 601    4 2.8790   2.1446688   NR12-8-408
 602    4 3.1020   1.9374199   NR12-9-403
 603    4 2.9730   2.1551013   NR12-9-404
 604    4 2.9190   2.1394420   NR12-9-405
 605    4 3.2910   2.1446720       RAC696
 606    4 3.3260   8.6068660        SPEAR
 607    4 3.4770   8.6200762      TATIARA
 608    4 3.2190   8.0726587      TRIDENT
 609    4 2.6870   2.1430984        VF664
 610    4 3.3460   2.1559256        VH302
 611    4 2.8980   2.1549953        VH314
 612    4 2.9430   2.1546356        VH782
 613    4 3.2960   2.1548320        VI184
 614    4 2.8570   2.1546981        VI193
 615    4 2.9710   2.1446056        VI341
 616    4 3.0520   2.1548267        VI375
 617    4 3.5450   2.1444151        VI727
 618    4 3.1550   2.1444334        VI729
 619    4 3.5600   2.1564480      WI94063
 620    4 2.8720   2.1446127      WI94091
 621    4 3.5380   2.1546303      WI94098
 622    4 3.1130   2.1546543      WI95060
 623    4 3.2480   2.1445494      WI95101
